backgroundImage,date,description,email,facebook,features,images,instagramLinks,location,name,pagelink,phone,price,time,website
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/13/5c32c2f7720655350e38342b.jpeg?as=1&h=506&w=900&hash=C2FD7566C9234FAFEB9F77996737569BCB3B4D41,07Jan2019-10Feb2019,"Bigger and better than ever… Get the best views of the Glenelg beach on Mix102.3’s Giant Ferris Wheel!SkyLine Attractions brings, the MIX 102.3 Giant Ferris Wheel to Moseley Square, Holdfast bay from the 4th January to the 10th February 2019! Australia's newest and tallest transportable Ferris Wheel!Great fun for all the family with tickets starting at just $10 per person, or $30 for a gondola (up to 6 people)!Come and see Glenelg from above with incredible 360° degree views! We cant wait to see you there!You can be watching the sunset with the whole family or looking over the foreshore of Glenelg and jetty night lights.",events@holdfast.sa.gov.au,,FeaturesEntity FacilityFamily FriendlyPublic Toilet,,https://www.facebook.com/pg/SkyLineattractions1/about/?ref=page_internal,"MoseleySquare,Glenelg,Adelaide,SouthAustralia,5045",Mix 102.3 Giant Ferris Wheel,https://southaustralia.com/products/adelaide/event/mix-1023-giant-ferris-wheel,(08) 8229 9999,From$10to$30Allsingleticketsare$10,12:00AM-12:00AM,https://www.facebook.com/pg/SkyLineattractions1/about/?ref=page_internal
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/14/5bf34c86b7d335050bfd6fa9.jpeg?as=1&h=506&w=900&hash=2BCAA82DD6807A24FA25DF253B01E3116E54F976,02Jan2019-31Jan2019,"The Barossa is renowned for its world class wines and has a rich food culture. During January we'll be  focusing on one of our favourite Barossan foods, Mettwurst produced by Linke’s Butcher.Enjoy a Linke's Mettwurst, two cheese and beetroot relish sandwich with pickles and crisps perfectly paired with a chilled glass or bottle of Elderton 2018 Rosé , or a wine of your selection from our tasting menu.This summer food and wine pairing can be enjoyed in our gorgeous garden overlooking our Command Vineyard planted in 1894, or in the air-conditioned comfort of our beautifully renovated cellar door, a 1918 Gentleman’s bungalow.Linke’s mettwurst is made from traditional family recipes dating back to the 19th century. Graham Linke’s ancestors left Silesia in Northern Europe and landed in South Australia in 1838 to build a new life. Each generation worked hard to succeed and in 1928 George and Edgar Linke established Linke’s Central Meat Store and it has remained in the family and in the same location ever since. Graham uses traditional family recipes to cure and smoke traditional Barossa smallgoods in a wood fired smokehouse behind the store.",elderton@eldertonwines.com.au,http://facebook.com/eldertonwines,"FeaturesEntity FacilityCafeCarparkFamily FriendlyNon SmokingPublic ToiletAccess With Assistance for the DisabledDisabled access available, contact operator for detailsAccreditationAustralian Tourism Accreditation ProgramInternet Access PointFree Wifi",,https://Instagram.com/eldertonwines,"3TanundaRoad,Nuriootpa,Barossa,SouthAustralia,5355",Perfect Match- Barossa Style,https://southaustralia.com/products/barossa/event/perfect-match--barossa-style,(08) 8568 7878,"From$12to$12Linke'sMettwurst,twocheeseandbeetrootrelishtoastedsandwichwithpicklesandcrisps$12Winesavailablebytheglass,werecommend2018BarossaRosé$9/glassor$25/bottle",12:00PM-2:00PM,https://eldertonwines.com.au/experiences/elderton-cellar-door/
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/16/5be3a4260006cbe13b12acbb.jpeg?as=1&h=506&w=900&hash=42669B087AB213ADD764F0F9E75AE3BE230ED85D,09Nov2018-13Mar2019,"Australia’s coast is the final resting place of over 11,000 shipwrecks – roughly one wreck for every three kilometres of coastline. And South Australia’s Admella and Degei are two of 14 wrecks whose stories will feature in the nationally touring panel exhibition Submerged – Stories of Australia’s Shipwrecks uncovering Australia’s rich shipwreck history.Submerged is presented by the Australian National Maritime Museum and the Australian Maritime Museums Council and is the result of a national project with workshops held across the country to develop the exhibition and to source shipwreck stories. 68 shipwreck stories were nominated by 46 maritime museums and heritage institutions from around Australia with 14 of the most compelling stories selected to feature in the exhibition.The exhibition is complemented by the Whyalla Maritime Museum’s own rich array of maritime artifacts and displays including items from the Governor Gawler that was wrecked off the Reevesby Island in Spencer Gulf in 1847.Submerged – Stories of Australia’s Shipwrecks is on a two year national tour across regional Australia. All 68 submitted shipwreck stories are available now on the AMMC website in a digital archive .FREE School resources available to support classroom activities.",visitor.centre@whyalla.sa.gov.au,www.facebook.com/whyallatourism,FeaturesEntity FacilityCarparkCoach ParkingFamily FriendlyPublic ToiletShopAccess With Assistance for the DisabledSuitable for guests who depend on the use of a wheelchair in a seated position at all times.AccreditationAustralian Tourism Accreditation ProgramMembershipMuseums AustraliaInternet Access PointFree Wifi,,www.instagram.com/whyallatourism,"LincolnHighway,Whyalla,EyrePeninsula,SouthAustralia,5600",Submerged – Stories Of Australia’S Shipwrecks,https://southaustralia.com/products/eyre-peninsula/event/submerged--stories-of-australias-shipwrecks,(08) 8645 7900,From$7to$31SPECIAL-GrouppricingavailableBookingsEssential-0886457900,10:00AM-4:00PM,http://www.whyalla.com
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/17/5b5a9fa7a5449ddb7533b181.jpeg?as=1&h=506&w=900&hash=9B37585D50BBD33C750E4E4662AB992AE3065B4F,12Nov2018-12Feb2019,"Join us as we present Diana Mitchell and her new Exhibition Launch. Opened by special guest John Ford, Fellow of the the Australian Society of Marine Artists.Come and experience Diana Mitchell's new Exhibition a",bookings@lyndochhill.com,,Features,,,"35HermannThummDrive,Lyndoch,Barossa,SouthAustralia,5351",The Remembrance Exhibition,https://southaustralia.com/products/barossa/event/the-remembrance-exhibition,(08) 8524 4268,,10:00AM-3:00PM,http://www.barossachateau.com
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/13/5bda6eb3f90a2fc6251ae413.jpeg?as=1&h=506&w=900&hash=0EC13B6ADACD7AEEE479A70632A8C08EE61A8195,08Dec2018-17Feb2019,"Pack a picnic, gather the loved ones and celebrate the arrival of summer with a cinematic night out under the stars! Moonlight Cinema Adelaide,  returns in 2018–19 for another blockbuster season of hit flicks.Catch the summer’s biggest blockbusters, new releases, advanced screenings and cult classic films under a starlit cinema screen. Moonlight Cinema brings the festival atmosphere to film-watching. It’s more than a movie experience, it’s an opportunity to kick back in the outdoors and relish in the summer vibes.Being a BYO* event, Moonlight makes a night out easy. Prepare a picnic of delicious deli treats, lollies for the little ones or your best bottle of bubbly, you can bring it all to Moonlight! Don’t have the time to pull together a snack pack for date night? Don’t worry Moonlight Cinema has you covered, their onsite food truck offers up a licensed bar and scrumptious variety of hot food and movie-going morsels to whet the appetite of film fans.Adelaide’s Moonlight Cinema is located at Botanic Park (adjacent to Adelaide Botanic Garden), Hackney Road, Adelaide. Enter the cinema via Plane Tree Drive.",frontdoor@moonlight.com.au,http://www.facebook.com/moonlightcinema/,"FeaturesEntity FacilityBarCafeFamily FriendlyKioskPet Friendly - EnquirePublic ToiletAccess With Assistance for the DisabledSuitable for guests with sufficient mobility to climb two or three steps, but would benefit from fixtures and fittings to aid balance.Suitable for guests who depend on the use of a wheelchair in a seated position at all times.Disabled access available, contact operator for details",,https://www.instagram.com/moonlightcinema/,"BotanicPark(adjacenttoAdelaideBotanicGarden),HackneyRoad,Adelaide,Adelaide,Adelaide,SouthAustralia,5000",Moonlight Cinema  Adelaide,https://southaustralia.com/products/adelaide/event/moonlight-cinema--adelaide,,From$17to$38,12:00AM-12:00AM,http://www.moonlight.com.au/adelaide/program/
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/12/5b2b4f8bba0b2649689101e7.jpeg?as=1&h=506&w=900&hash=942C518D55E0CFE5A4287467A780AE66DB3EA59F,26Oct2018-28Jan2019,"'The old ways of doing things have changed into the new ways. The new generation does things differently. But me, I have two ways. I am the old and the new.'– John MawurndjulInternationally renowned and locally treasured master bark painter John Mawurndjul is the subject of this major exhibition. Bringing forth a tradition shared by generations of Kuninjku artists, Mawurndjul is celebrated for his mastery of rrak (cross-hatching) and his depiction of djang (sacred sites). Bark paintings and sculptures made over a 40 year period, from private and public collections, as well as new work, will introduce audiences to ancestral locations deep within Central Arnhem Land.Co-presented by Museum of Contemporary Art Australia and the Art Gallery of South Australia, through TARNANTHI, in association with Maningrida Arts & Culture.",agsainformation@artgallery.sa.gov.au,https://www.facebook.com/artgallerysa/,FeaturesEntity FacilityFamily FriendlyLockersPublic ToiletRestaurantShopMembershipMuseums Australia,,https://www.instagram.com/artgalleryofsa/,"NorthTerrace,Adelaide,Adelaide,SouthAustralia,5000",John Mawurndjul: I Am The Old And The New,https://southaustralia.com/products/adelaide/event/john-mawurndjul-i-am-the-old-and-the-new,(08) 8207 7000,,10:00AM-5:00PM,http://www.artgallery.sa.gov.au
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/09/5a555aec6f1592e054b59197.jpeg?as=1&h=506&w=900&hash=52C5293C8BA933A3CDD2C381379549DDDCCA5406,16Nov2018-31Dec2021,"Enjoy exclusive Champagne Hour prices at our Lobby Bar, DAILY 4PM - 6PM, where indulgence is daily and champagne flows freely. There is only one thing better than a glass of champagne… a bottle.",adelaide@hilton.com,https://www.facebook.com/HiltonAdelaide/,"FeaturesEntity FacilityBarCafeConference/Function FacilitiesFamily FriendlyNon SmokingPet Friendly - EnquirePublic ToiletRestaurantAccess With Assistance for the DisabledSuitable for guests with sufficient mobility to climb two or three steps, but would benefit from fixtures and fittings to aid balance.Suitable for guests who depend on the use of a wheelchair in a seated position at all times.Suitable for guests with high support needs who uses a hoist and always travel with a carer.Suitable for guests with a hearing impairment, from mild hearing loss to profoundly deaf.Suitable for guests with a vision impairment. Attained by providing for guests with partial vision impairment or total loss of useable vision.Disabled access available, contact operator for detailsAccreditationAustralian Tourism Accreditation ProgramMembershipMeetings and Events AustraliaInternet Access PointFree Wifi",,https://www.instagram.com/adelaidehilton/,"233VictoriaSquare,Adelaide,Adelaide,SouthAustralia,5000",Champagne Hour,https://southaustralia.com/products/adelaide/event/champagne-hour,(08) 8217 2000,,12:00AM-12:00AM,http://www.adelaide.hilton.com
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/05/5bac863f4004f6695bf5a345.jpeg?as=1&h=506&w=900&hash=C133A5787D0445E7C2F31B1BEB9D1DA96F973926,10Jan2019-16Feb2019,"The Port Lincoln Art Prize is an annual exhibition open to all Australian residents, entering its 11th year in 2019.The event provides a prestigious competition for the many artists who enter and the opportunity to have their efforts publicly acknowledged with the chance to win cash prizes.Exhibition on show from 10th January to 16th February 2019 at the Nautilus Arts Centre.Official opening and award presentations to be held on Thursday 10th January 2019 from 7pm. All are welcome to attend.All entries must be in by 4pm Monday December 3rd 2018. Full details on how to enter can be found on our website.Prizes awarded include:$5000 Major Award$1000 Highly Commended$500 Local Artist Award$500 Youth Award$100 Youth Award Highly Commended$500 Peoples Choice AwardWinners announced at the opening night and in the Port Lincoln Times.",nautilusartcentre@plcc.sa.gov.au,,Features,,,"66TasmanTerrace,PortLincoln,EyrePeninsula,SouthAustralia,5606",2019 Port Lincoln Art Prize,https://southaustralia.com/products/eyre-peninsula/event/2019-port-lincoln-art-prize,(08) 8621 2351,,7:00PM-8:30PM,http://www.nautilusartcentre.com.au/event/port-lincoln-art-prize-2019/
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/15/59d6d0a6abaf9c2c3e572935.jpeg?as=1&h=506&w=900&hash=E63807BC59777D593B4DF0554C1C532A07E9E4CA,07Dec2018-08Feb2019,"Cool off by the foreshore and watch the sun setting over the ocean as you take in the great food, kids activities and live entertainment at these twilight markets. Featuring market stalls showcasing unique, high quality boutique handmade products. Food trucks will also be on site to satisfy your hunger.The markets will be held on Friday 7 December 2018, Friday 11 January 2019 and Friday 8 February 2019 from 5.30pm to 8.30pm.",events@holdfast.sa.gov.au,www.facebook.com/CityofHoldfastBay/,FeaturesEntity FacilityCarparkFamily FriendlyPet Friendly - EnquirePublic Toilet,,www.instagram.com/holdfastbay/,"Esplanade,Seacliff,Adelaide,SouthAustralia,5049",Seacliff 5049 Markets,https://southaustralia.com/products/adelaide/event/seacliff-5049-markets,(08) 8229 9999,,5:30PM-8:30PM,http://www.holdfast.sa.gov.au/markets
https://southaustralia.com/-/media/Feature/Products/ATDW-Images/2019/01/23/22/09/5c09fa0142fefb8841c4ad70.jpeg?as=1&h=506&w=900&hash=E60D60D4974BACD73D5E3BE6FE69F525B21BF545,26Dec2018-31Jan2019,"Step into a prehistoric world where gigantic insects and dinosaurs shared the earth.These school holidays at Adelaide Zoo, come face to face with spiders as long as horses, wasps the size of tigers and dinosaurs bigger than a building.Step into a prehistoric world and get up close to gigantic animatronic insects and dinosaurs displayed throughout the zoo.Follow in the footsteps of some of the world’s largest creatures and learn all about what life was like millions of years in the past.",information@zoossa.com.au,https://www.facebook.com/AdelaideZoo,"FeaturesEntity FacilityCafeCarparkCoach ParkingConference/Function FacilitiesFamily FriendlyKioskNon SmokingParents RoomPublic ToiletShopAccess With Assistance for the DisabledSuitable for guests with a vision impairment. Attained by providing for guests with partial vision impairment or total loss of useable vision.Suitable for guests with a hearing impairment, from mild hearing loss to profoundly deaf.Suitable for guests with sufficient mobility to climb two or three steps, but would benefit from fixtures and fittings to aid balance.Suitable for guests who depend on the use of a wheelchair in a seated position at all times.Suitable for guests with high support needs who uses a hoist and always travel with a carer.AccreditationAustralian Tourism Accreditation ProgramClimate Action AccreditationsMembershipAssociation of Australian Convention Bureaux Inc.Australian Tourism Export CouncilThe Ecotourism Association of AustraliaInternet Access PointFree Wifi",,www.instagram.com/zoossa,"FromeRoad,Adelaide,Adelaide,SouthAustralia,5000",Collosal Creatures,https://southaustralia.com/products/adelaide/event/collosal-creatures,(08) 8267 3255,From$19.80to$91.50Ages15anabove,9:30AM-5:00PM,https://www.adelaidezoo.com.au/tickets/
